stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000201,201,Wayfinding Centre,,53.368291,-6.270119,,,,
8220DB000202,202,Fairfield Road,,53.37008,-6.268904,,,,
8220DB000203,203,Whitehall Village,,53.376393,-6.25001,,,,
8220DB000204,204,Plunket College,,53.379588,-6.246662,,,,
8220DB000205,205,Iveragh Road,,53.381375,-6.245326,,,,
8220DB000206,206,Larkhill Road,,53.383546,-6.247477,,,,
8220DB000207,207,Larkhill Road,,53.384822,-6.249875,,,,
8220DB000208,208,Glendun Road,,53.3866539303158,-6.24795040815756,,,,
8220DB000209,209,Larkhill Road,,53.387271,-6.24591,,,,
8220DB000210,210,Crestfield Road,,53.387594,-6.248318,,,,
8220DB000211,211,Falcarragh Road,,53.384281,-6.24916,,,,
8220DB000212,212,Larkhill Road,,53.383196,-6.246258,,,,
8220DB000213,213,Iveragh Road,,53.38145,-6.244872,,,,
8220DB000214,214,Plunket College,,53.379408,-6.246655,,,,
8220DB000215,215,Whitehall Cross,,53.381872,-6.242449,,,,
8220DB000216,216,Yellow Road,,53.382331,-6.238191,,,,
8220DB000217,217,Grace Park Court,,53.384324,-6.236801,,,,
8220DB000218,218,Shantalla Road,,53.385924,-6.233788,,,,
8220DB000220,220,Shantalla Bridge,,53.38794,-6.244981,,,,
8220DB000228,228,Shanliss Road,,53.391877,-6.25972,,,,
8220DB000233,233,Shantalla Road,,53.385821,-6.233537,,,,
8220DB000234,234,Beaumont Grove,,53.384951,-6.234821,,,,
8220DB000235,235,Grace Park Court,,53.383297,-6.237249,,,,
8220DB000236,236,Yellow Road,,53.382025,-6.238159,,,,
8220DB000237,237,Whitehall Cross,,53.382032,-6.243525,,,,
8220DB000242,242,Coolgreena Road,,53.385655,-6.23201,,,,
8220DB000243,243,Beaumont Crescent,,53.38578,-6.22954,,,,
8220DB000244,244,Skelly's Lane,,53.384998,-6.223498,,,,
8220DB000245,245,Whitethorn Rise,,53.384472,-6.219567,,,,
8220DB000246,246,Artaine Castle,,53.385151,-6.216231,,,,
8220DB000247,247,Maryfield Drive,,53.386976,-6.214501,,,,
8220DB000248,248,Maryfield Drive,,53.3855645601725,-6.21446963135785,,,,
8220DB000249,249,Artaine Castle,,53.384934,-6.21615,,,,
8220DB000250,250,Whitethorn Rise,,53.384419,-6.220245,,,,
8220DB000251,251,Skelly's Lane,,53.384832,-6.22322,,,,
8220DB000252,252,Beaumont Crescent,,53.385568,-6.22797,,,,
8220DB000253,253,Beaumont Hospital,,53.389963,-6.224299,,,,
8220DB000254,254,Beaumont Hospital,,53.390265,-6.224106,,,,
8220DB000255,255,Coolgreena Road,,53.385594,-6.231532,,,,
8220DB000261,261,Parnell Square East,,53.354056,-6.262853,,,,
8220DB000262,262,Parnell Square East,,53.353947,-6.262753,,,,
8220DB000263,263,Parnell Square East,,53.353746,-6.262505,,,,
8220DB000264,264,Parnell Square East,,53.353316,-6.26197,,,,
8220DB000265,265,Parnell Square East,,53.353122,-6.261658,,,,
8220DB000270,270,O'Connell Street Upper,,53.350623,-6.260424,,,,
